,file_name,count,Point,Percent,TFIDF
4596,outotec_sr_2017_final_23032018.pdf,203686,29,0.59%,1.2514423708060989
4597,CR_report2010_ArcelorMittal_Brazil_ING_v2.pdf,62371,5,1.5%,1.889822365046136
4598,COP_2014_UN_Global_Compact.pdf,1860,0,0.56%,0.0
4599,Un_Global_Compact_COP.pdf,1728,0,0.0%,0.0
4600,Europcar_RA_GB_Final.pdf,55003,0,0.74%,0.0
4601,COP_2013_2014_mc.pdf,1356,0,0.44%,0.0
4602,LEAN_ENERGY_SOLUTIONS_LTD_COP_REPORT_2014-_2015.pdf,12107,0,0.51%,0.0
4603,Corporate_Sustainable_Development_Report_2009.pdf,1940,0,0.0%,0.0
4604,FRANCE_TELECOM_complete_report_GBv3.pdf,535555,56,0.64%,2.122674522020929
4605,COP_-_TICO_Digital_Grouop.pdf,7257,0,0.15%,0.0
4606,Finnair_Annual_Report_A4_final.pdf,556089,19,0.41%,1.771759135656596
4607,CWS_COP-2018_incl._CEO_Statement.pdf,10694,0,0.37%,0.0
4608,Communication_on_Progress_Worlée-Chemie_2020_e.pdf,16128,0,0.32%,0.0
4609,2019_COP_KJAER_GROUP.pdf,12153,1,0.68%,1.0
4610,PMC_COP_-_2012.pdf,4179,0,0.11%,0.0
4611,EKF_CSR_Factbook_2012.pdf,40777,0,0.0%,0.0
4612,Global_Compact_3.pdf,12455,2,0.56%,1.0
4613,Edelman_UN_Global_Compact_COP_March_2011_1_.pdf,487,0,0.0%,0.0
4614,AB_InBev_2019_Annual_Report_English.pdf,430507,51,0.45%,2.769939777627199
4615,Communication_on_Progress_2014.pdf,26320,3,0.43%,1.3416407864998738
4616,Hosri_COP.pdf,8565,0,0.96%,0.0
4617,SANOFI_Human_Right_02.pdf,73486,22,0.62%,2.4003967925959167
4618,CoP_2014-15_BalmerLawrie.pdf,21609,1,0.47%,1.0
4619,BIB_Sustainability_Report_2015.pdf,161094,13,0.28%,1.857142857142857
4620,Merck_Communication_on_Progress2012.pdf,25669,1,0.49%,1.0
4621,Dietsmann_Corporate_Sustainability_Report_2017.pdf,58302,5,0.57%,1.386750490563073
4622,Plastic_omnium_2011_Sustainable_Development_Report.pdf,24967,1,0.78%,1.0
4623,2021 Global Responsibility Report Final.pdf,271648,62,0.99%,1.7289052982527973
4624,2012_COP_UN_Global_Compact_Maxibit.pdf,223,0,0.0%,0.0
4625,NORDIC_TANKERS_CSR_REPORT_2013.pdf,823,0,0.0%,0.0
4626,Schaeffler_Sustainability_Report_2019.pdf,158126,13,0.48%,1.820364109236413
4627,COP 2020 LAMOSA ENG.pdf,14801,5,0.64%,1.6666666666666663
4628,Responsible_Growth_-_AAK_Sustainability_Report_2010-2011_EN.pdf,122786,11,0.47%,2.0426487199475707
4629,Beckers_Sustainability_2020_print.pdf,152732,25,1.29%,2.272727272727273
4630,Global_Compact_Communication_2011-08.pdf,7429,0,0.0%,0.0
4631,Report En.pdf,4278,0,0.27%,0.0
